Id,ActivityDay,Calories
6117666160,4/21/2016,4900
5577150313,4/17/2016,4552
8877689391,4/16/2016,4547
5577150313,5/1/2016,4546
5577150313,4/30/2016,4501
8877689391,4/30/2016,4398
5577150313,4/24/2016,4392
5577150313,4/16/2016,4274
8378563200,4/21/2016,4236
8378563200,4/14/2016,4163
8378563200,4/18/2016,4157
8877689391,5/7/2016,4142
8378563200,4/19/2016,4092
8378563200,4/13/2016,4079
8378563200,4/22/2016,4044
4388161847,5/7/2016,4022
5577150313,4/14/2016,4022
5577150313,4/21/2016,4018
8877689391,5/6/2016,4015
5577150313,4/15/2016,4005
8378563200,4/25/2016,4005
4388161847,5/8/2016,3934
8877689391,4/15/2016,3934
8877689391,4/12/2016,3921
8877689391,4/23/2016,3891
4020332650,5/4/2016,3879
1644430081,4/30/2016,3846
5577150313,5/10/2016,3841
8877689391,5/11/2016,3832
8877689391,4/27/2016,3808
8877689391,4/25/2016,3802
5577150313,5/3/2016,3795
8877689391,4/14/2016,3793
8378563200,5/11/2016,3788
8378563200,4/20/2016,3787
8378563200,5/3/2016,3784
8378563200,5/5/2016,3783
8378563200,4/26/2016,3763
6775888955,4/20/2016,3727
8378563200,5/9/2016,3721
8877689391,5/9/2016,3710
4702921684,4/23/2016,3691
4702921684,5/7/2016,3683
8877689391,4/20/2016,3679
8877689391,4/19/2016,3676
8378563200,4/15/2016,3666
8877689391,4/21/2016,3659
4020332650,4/12/2016,3654
8378563200,5/6/2016,3644
8378563200,4/12/2016,3635
5577150313,4/18/2016,3625
8053475328,5/8/2016,3589
8378563200,5/10/2016,3586
5577150313,4/28/2016,3580
8053475328,4/24/2016,3577
8877689391,4/13/2016,3566
8053475328,4/23/2016,3554
8877689391,4/17/2016,3545
4388161847,4/22/2016,3544
5577150313,4/29/2016,3544
4702921684,4/24/2016,3538
8583815059,4/29/2016,3513
5577150313,4/19/2016,3501
1644430081,4/16/2016,3493
8378563200,5/2/2016,3491
8877689391,5/4/2016,3477
8877689391,4/24/2016,3455
4020332650,5/5/2016,3429
8877689391,4/22/2016,3427
4388161847,5/6/2016,3425
8053475328,4/14/2016,3411
8053475328,4/15/2016,3410
5577150313,4/12/2016,3405
1644430081,5/7/2016,3404
8053475328,4/25/2016,3403
4702921684,4/17/2016,3394
5577150313,4/25/2016,3374
8378563200,5/1/2016,3369
8378563200,4/16/2016,3363
8053475328,5/7/2016,3331
5577150313,4/22/2016,3329
1644430081,5/6/2016,3328
4702921684,4/16/2016,3328
6290855005,5/1/2016,3327
1644430081,5/3/2016,3324
4388161847,4/23/2016,3306
1644430081,4/19/2016,3300
5577150313,4/27/2016,3294
4388161847,5/3/2016,3290
4388161847,4/25/2016,3288
4702921684,5/8/2016,3287
4388161847,4/30/2016,3283
4388161847,4/18/2016,3274
8583815059,5/5/2016,3266
1644430081,4/14/2016,3226
8053475328,4/17/2016,3213
8583815059,5/3/2016,3212
1644430081,4/12/2016,3199
5577150313,4/20/2016,3192
8053475328,4/12/2016,3186
7007744171,4/29/2016,3180
4702921684,5/10/2016,3172
6290855005,4/17/2016,3171
4702921684,4/29/2016,3165
8583815059,4/30/2016,3164
4388161847,5/4/2016,3162
2022484408,4/21/2016,3158
5577150313,4/23/2016,3152
4388161847,5/2/2016,3147
4702921684,5/3/2016,3145
8583815059,4/27/2016,3142
8053475328,4/13/2016,3140
8053475328,4/18/2016,3133
1644430081,4/26/2016,3123
4702921684,4/30/2016,3115
8053475328,4/19/2016,3114
8378563200,5/4/2016,3110
1644430081,4/28/2016,3108
8053475328,4/21/2016,3103
8792009665,4/29/2016,3101
7007744171,4/20/2016,3096
8583815059,4/26/2016,3093
4388161847,4/13/2016,3092
4020332650,5/8/2016,3089
5577150313,4/26/2016,3088
4388161847,4/20/2016,3083
4388161847,4/27/2016,3074
4388161847,4/16/2016,3073
4388161847,4/21/2016,3069
4702921684,5/11/2016,3069
4388161847,4/15/2016,3066
4702921684,4/25/2016,3064
8053475328,4/28/2016,3062
4388161847,5/10/2016,3061
4702921684,4/20/2016,3061
8378563200,4/27/2016,3061
8877689391,4/28/2016,3060
7007744171,4/25/2016,3055
8877689391,5/5/2016,3052
4020332650,4/16/2016,3051
8053475328,4/20/2016,3043
4702921684,4/28/2016,3033
8053475328,5/3/2016,3023
4388161847,4/19/2016,3015
5577150313,5/2/2016,3014
4388161847,5/9/2016,3013
4702921684,4/18/2016,3013
8583815059,4/23/2016,3012
1644430081,4/17/2016,3011
1644430081,5/9/2016,3008
4702921684,5/5/2016,3006
4702921684,5/4/2016,3004
5577150313,5/5/2016,3004
4388161847,4/14/2016,2998
7086361926,4/20/2016,2997
7086361926,4/30/2016,2995
4702921684,5/9/2016,2990
1644430081,5/8/2016,2987
4702921684,4/14/2016,2984
8378563200,4/29/2016,2982
4388161847,4/29/2016,2979
7007744171,5/3/2016,2976
4020332650,5/7/2016,2975
4388161847,4/28/2016,2969
7086361926,5/9/2016,2960
