Id,ActivityDay,SedentaryMinutes,LightlyActiveMinutes,FairlyActiveMinutes,VeryActiveMinutes,SedentaryActiveDistance,LightActiveDistance,ModeratelyActiveDistance,VeryActiveDistance,SumHours
1503960366,5/3/2016,816,254,24,50,0,4.880000114,1.049999952,3.730000019,19
1503960366,4/26/2016,833,279,23,31,0,5.539999962,0.9200000167,2.329999924,19
1503960366,5/5/2016,857,250,24,45,0,4.880000114,1.080000043,2.920000076,19
1503960366,4/29/2016,815,243,12,16,0,5.579999924,0.5,1.059999943,18
1503960366,5/7/2016,833,175,46,37,0,3.130000114,2.119999886,2.460000038,18
1503960366,4/12/2016,728,328,13,25,0,6.059999943,0.5500000119,1.879999995,18
1503960366,5/9/2016,835,206,11,46,0,3.74000001,0.5299999714,3.450000048,18
1503960366,4/25/2016,814,216,14,73,0,3.940000057,0.5699999928,5.289999962,18
1503960366,4/19/2016,775,264,31,50,0,5.03000021,1.320000052,3.529999971,18
1503960366,5/2/2016,798,277,15,41,0,5.920000076,0.5699999928,3.210000038,18
1503960366,4/13/2016,776,217,19,21,0,4.710000038,0.6899999976,1.570000052,17
1503960366,5/10/2016,746,214,31,46,0,3.25999999,1.159999967,3.349999905,17
1503960366,4/16/2016,773,221,10,36,0,5.039999962,0.4099999964,2.710000038,17
1503960366,5/1/2016,730,246,35,33,0,2.920000076,1.600000024,2.289999962,17
1503960366,4/28/2016,782,189,28,48,0,3.789999962,1.159999967,3.539999962,17
1503960366,4/23/2016,732,262,21,41,0,5.360000134,0.8700000048,2.809999943,17
1503960366,4/20/2016,818,205,12,28,0,4.239999771,0.4799999893,1.960000038,17
1503960366,5/6/2016,754,289,6,24,0,5.809999943,0.25,1.970000029,17
1503960366,4/21/2016,838,211,8,19,0,4.650000095,0.349999994,1.340000033,17
1503960366,5/11/2016,669,251,23,36,0,4.550000191,1.00999999,2.559999943,16
1503960366,4/24/2016,709,238,5,39,0,3.279999971,0.2099999934,2.920000076,16
1503960366,4/15/2016,726,209,34,29,0,2.829999924,1.25999999,2.140000105,16
1503960366,4/30/2016,712,217,34,52,0,4.269999981,1.419999957,3.559999943,16
1503960366,5/8/2016,574,203,8,44,0,2.730000019,0.3199999928,3.529999971,13
1503960366,4/17/2016,539,164,20,38,0,2.50999999,0.7799999714,3.190000057,12
1624580081,5/12/2016,890,107,0,0,0.009999999776,1.919999957,0,0,16
1644430081,5/1/2016,908,146,24,3,0,3.230000019,0.9900000095,0.2399999946,18
1644430081,5/2/2016,682,148,7,1,0,2.349999905,0.3100000024,0.0700000003,13
1644430081,5/11/2016,713,49,0,0,0.009999999776,0.9499999881,0,0,12
1844505072,4/14/2016,843,373,0,0,0,5.230000019,0,0,20
1844505072,5/1/2016,585,75,7,0,0,1.450000048,0.2599999905,0,11
1844505072,4/15/2016,527,176,0,0,0,2.539999962,0,0,11
1844505072,5/12/2016,711,0,0,0,0,0,0,0,11
1844505072,4/30/2016,218,184,0,0,0,2.650000095,0,0,6
1927972279,4/26/2016,1058,192,0,0,0,2.599999905,0,0,20
1927972279,5/12/2016,966,0,0,0,0,0,0,0,16
1927972279,4/15/2016,941,51,0,0,0,0.6800000072,0,0,16
1927972279,4/13/2016,986,32,0,0,0,0.25,0,0,16
1927972279,4/12/2016,734,55,0,0,0,0.4699999988,0,0,13
2022484408,5/12/2016,728,236,16,16,0,4.440000057,0.6700000167,1.279999971,16
2026352035,4/18/2016,1062,182,0,0,0,2.059999943,0,0,20
2026352035,4/25/2016,821,260,0,0,0,3.730000019,0,0,18
2026352035,4/17/2016,1053,60,0,0,0,0.5199999809,0,0,18
2026352035,5/2/2016,716,355,0,0,0,4.349999905,0,0,17
2026352035,5/10/2016,1002,17,0,0,0,0.1599999964,0,0,16
2026352035,4/13/2016,663,238,0,0,0,3.099999905,0,0,15
2026352035,4/21/2016,749,153,0,0,0,1.529999971,0,0,15
2026352035,5/1/2016,716,191,0,0,0,2.279999971,0,0,15
2026352035,4/19/2016,785,141,0,0,0,1.5,0,0,15
2026352035,5/9/2016,543,401,0,0,0,6.599999905,0,0,15
2026352035,4/20/2016,623,327,0,0,0,4.480000019,0,0,15
2026352035,5/5/2016,479,475,0,0,0,7.539999962,0,0,15
2026352035,4/28/2016,626,331,0,0,0,3.950000048,0,0,15
2026352035,4/29/2016,492,352,0,0,0,4.710000038,0,0,14
2026352035,4/14/2016,653,197,0,0,0,2.049999952,0,0,14
2026352035,5/8/2016,610,258,0,0,0,3.450000048,0,0,14
2026352035,4/24/2016,704,164,0,0,0,2.160000086,0,0,14
2026352035,4/27/2016,586,286,0,0,0,3.769999981,0,0,14
2026352035,4/22/2016,712,162,0,0,0,1.809999943,0,0,14
2026352035,5/4/2016,530,345,0,0,0,4.070000172,0,0,14
2026352035,4/15/2016,687,188,0,0,0,2.369999886,0,0,14
2026352035,4/16/2016,728,150,0,0,0,1.580000043,0,0,14
2026352035,4/23/2016,458,432,0,0,0,7.710000038,0,0,14
2026352035,5/6/2016,511,383,0,0,0,5.079999924,0,0,14
2026352035,5/7/2016,665,229,0,0,0,2.599999905,0,0,14
2026352035,4/12/2016,706,181,8,3,0,2.200000048,0.349999994,0.1899999976,14
2026352035,5/11/2016,569,330,0,0,0,5.320000172,0,0,14
2026352035,4/30/2016,594,233,0,0,0,2.930000067,0,0,13
2026352035,5/12/2016,330,343,0,0,0,5.510000229,0,0,11
2320127002,5/12/2016,830,128,0,0,0,1.789999962,0,0,15
2347167796,4/22/2016,781,206,27,9,0,2.920000076,1.679999948,0.5600000024,17
2347167796,4/15/2016,720,284,24,1,0,5.429999828,1.419999957,0.0700000003,17
2347167796,4/19/2016,648,382,7,0,0,4.440000057,0,0,17
2347167796,4/14/2016,705,206,48,1,0,3.940000057,2.74000001,0.01999999955,16
2347167796,4/28/2016,764,229,0,0,0,3.599999905,0,0,16
2347167796,4/23/2016,591,360,35,32,0,7.150000095,1.450000048,2.779999971,16
2347167796,4/21/2016,761,208,26,23,0,3.380000114,1.529999971,1.850000024,16
2347167796,4/18/2016,678,206,16,11,0,3.789999962,0.8600000143,0.7900000215,15
2347167796,4/13/2016,676,195,32,19,0,3.410000086,1.940000057,1.659999967,15
2347167796,4/24/2016,584,360,0,0,0,6.260000229,0,0,15
2347167796,4/27/2016,623,295,9,26,0,5.320000172,0.400000006,1.860000014,15
2347167796,4/25/2016,653,277,11,15,0,4.599999905,0.5199999809,1.269999981,15
2347167796,4/26/2016,732,227,0,0,0,3.950000048,0,0,15
2347167796,4/17/2016,508,249,7,1,0,3.25999999,0.2800000012,0.07999999821,12
2873212765,5/12/2016,720,268,0,0,0,5.110000134,0,0,16
3372868164,5/1/2016,842,172,0,0,0,2.089999914,0,0,16
3977333714,5/4/2016,852,142,96,14,0,2.890000105,4.579999924,1.809999943,18
3977333714,4/20/2016,845,164,98,2,0,3.279999971,4.349999905,0.200000003,18
3977333714,4/14/2016,801,214,23,5,0,3.819999933,0.9700000286,0.3199999928,17
3977333714,4/19/2016,738,221,67,19,0,3.960000038,2.450000048,2.24000001,17
3977333714,5/2/2016,713,176,143,24,0,3.019999981,6.480000019,1.539999962,17
3977333714,4/23/2016,724,252,92,0,0,3.849999905,4.21999979,0,17
3977333714,4/26/2016,797,170,95,7,0,2.950000048,4.21999979,0.4499999881,17
