Id,SleepDay,TotalSleepRecords,TotalMinutesAsleep,TotalMinutesInBed,TotalHoursAsleep,TotalHoursInBed,HoursAsleepHoursInBedDiff
1503960366,4/12/2016 12:00:00 AM,1,327,346,5.45,5.77,0.32
1503960366,4/13/2016 12:00:00 AM,2,384,407,6.40,6.78,0.38
1503960366,4/15/2016 12:00:00 AM,1,412,442,6.87,7.37,0.50
1503960366,4/16/2016 12:00:00 AM,2,340,367,5.67,6.12,0.45
1503960366,4/17/2016 12:00:00 AM,1,700,712,11.67,11.87,0.20
1503960366,4/19/2016 12:00:00 AM,1,304,320,5.07,5.33,0.27
1503960366,4/20/2016 12:00:00 AM,1,360,377,6.00,6.28,0.28
1503960366,4/21/2016 12:00:00 AM,1,325,364,5.42,6.07,0.65
1503960366,4/23/2016 12:00:00 AM,1,361,384,6.02,6.40,0.38
1503960366,4/24/2016 12:00:00 AM,1,430,449,7.17,7.48,0.32
1503960366,4/25/2016 12:00:00 AM,1,277,323,4.62,5.38,0.77
1503960366,4/26/2016 12:00:00 AM,1,245,274,4.08,4.57,0.48
1503960366,4/28/2016 12:00:00 AM,1,366,393,6.10,6.55,0.45
1503960366,4/29/2016 12:00:00 AM,1,341,354,5.68,5.90,0.22
1503960366,4/30/2016 12:00:00 AM,1,404,425,6.73,7.08,0.35
1503960366,5/1/2016 12:00:00 AM,1,369,396,6.15,6.60,0.45
1503960366,5/2/2016 12:00:00 AM,1,277,309,4.62,5.15,0.53
1503960366,5/3/2016 12:00:00 AM,1,273,296,4.55,4.93,0.38
1503960366,5/5/2016 12:00:00 AM,1,247,264,4.12,4.40,0.28
1503960366,5/6/2016 12:00:00 AM,1,334,367,5.57,6.12,0.55
1503960366,5/7/2016 12:00:00 AM,1,331,349,5.52,5.82,0.30
1503960366,5/8/2016 12:00:00 AM,1,594,611,9.90,10.18,0.28
1503960366,5/9/2016 12:00:00 AM,1,338,342,5.63,5.70,0.07
1503960366,5/10/2016 12:00:00 AM,1,383,403,6.38,6.72,0.33
1503960366,5/11/2016 12:00:00 AM,1,285,306,4.75,5.10,0.35
1644430081,4/29/2016 12:00:00 AM,1,119,127,1.98,2.12,0.13
1644430081,4/30/2016 12:00:00 AM,1,124,142,2.07,2.37,0.30
