Id,Date,WeightKg,WeightPounds,BMI,BMIWeightClass,IsManualReport,LogId
1503960366,5/2/2016 11:59:59 PM,52.60,115.96,22.65,Healthy Weight,TRUE,1462233599000
1503960366,5/3/2016 11:59:59 PM,52.60,115.96,22.65,Healthy Weight,TRUE,1462319999000
1927972279,4/13/2016 1:08:52 AM,133.50,294.32,47.54,Severely/Morbidly Obese,FALSE,1460509732000
2873212765,5/12/2016 11:59:59 PM,57.30,126.32,21.69,Healthy Weight,TRUE,1463097599000
2873212765,4/21/2016 11:59:59 PM,56.70,125.00,21.45,Healthy Weight,TRUE,1461283199000
4319703577,4/17/2016 11:59:59 PM,72.40,159.61,27.45,Overweight,TRUE,1460937599000
4319703577,5/4/2016 11:59:59 PM,72.30,159.39,27.38,Overweight,TRUE,1462406399000
4558609924,4/25/2016 11:59:59 PM,70.30,154.98,27.46,Overweight,TRUE,1461628799000
4558609924,5/1/2016 11:59:59 PM,69.90,154.10,27.32,Overweight,TRUE,1462147199000
4558609924,4/18/2016 11:59:59 PM,69.70,153.66,27.25,Overweight,TRUE,1461023999000
4558609924,5/2/2016 11:59:59 PM,69.20,152.56,27.04,Overweight,TRUE,1462233599000
4558609924,5/9/2016 11:59:59 PM,69.10,152.34,27.00,Overweight,TRUE,1462838399000
5577150313,4/17/2016 9:17:55 AM,90.70,199.96,28.00,Overweight,FALSE,1460884675000
6962181067,4/12/2016 11:59:59 PM,62.50,137.79,24.39,Healthy Weight,TRUE,1460505599000
6962181067,5/9/2016 11:59:59 PM,62.40,137.57,24.35,Healthy Weight,TRUE,1462838399000
6962181067,4/13/2016 11:59:59 PM,62.10,136.91,24.24,Healthy Weight,TRUE,1460591999000
6962181067,5/10/2016 11:59:59 PM,62.10,136.91,24.24,Healthy Weight,TRUE,1462924799000
6962181067,4/16/2016 11:59:59 PM,62.00,136.69,24.21,Healthy Weight,TRUE,1460851199000
6962181067,5/11/2016 11:59:59 PM,61.90,136.47,24.17,Healthy Weight,TRUE,1463011199000
6962181067,5/12/2016 11:59:59 PM,61.90,136.47,24.17,Healthy Weight,TRUE,1463097599000
6962181067,4/14/2016 11:59:59 PM,61.70,136.03,24.10,Healthy Weight,TRUE,1460678399000
6962181067,4/20/2016 11:59:59 PM,61.70,136.03,24.10,Healthy Weight,TRUE,1461196799000
6962181067,4/25/2016 11:59:59 PM,61.70,136.03,24.10,Healthy Weight,TRUE,1461628799000
6962181067,5/1/2016 11:59:59 PM,61.70,136.03,24.10,Healthy Weight,TRUE,1462147199000
6962181067,4/15/2016 11:59:59 PM,61.50,135.58,24.00,Healthy Weight,TRUE,1460764799000
6962181067,4/23/2016 11:59:59 PM,61.50,135.58,24.00,Healthy Weight,TRUE,1461455999000
6962181067,4/24/2016 11:59:59 PM,61.50,135.58,24.00,Healthy Weight,TRUE,1461542399000
6962181067,5/2/2016 11:59:59 PM,61.50,135.58,24.00,Healthy Weight,TRUE,1462233599000
6962181067,5/6/2016 11:59:59 PM,61.50,135.58,24.00,Healthy Weight,TRUE,1462579199000
6962181067,4/17/2016 11:59:59 PM,61.40,135.36,23.96,Healthy Weight,TRUE,1460937599000
6962181067,4/19/2016 11:59:59 PM,61.40,135.36,23.96,Healthy Weight,TRUE,1461110399000
6962181067,4/21/2016 11:59:59 PM,61.40,135.36,23.96,Healthy Weight,TRUE,1461283199000
6962181067,4/22/2016 11:59:59 PM,61.40,135.36,23.96,Healthy Weight,TRUE,1461369599000
6962181067,4/29/2016 11:59:59 PM,61.40,135.36,23.96,Healthy Weight,TRUE,1461974399000
